技术支持	400000000
IT技术	400000000
IT工程师	500000000
IT项目执行	600000000
IT运维	400000000
IT专员	400000000
IT部	300000000
信息技术	400000000
系统集成	400000000
售前	200000000
售后	200000000
维护	200000000
FAE	300000000
系统工程师	500000000
网络工程师	500000000
网络管理员	500000000
开发工程师	500000000
游戏开发	400000000
硬件开发	400000000
软件开发	400000000
嵌入式	300000000
研发工程师	500000000
软件工程师	500000000
程序员	30000000000
主程	20000000000
前端	200000000000
后端	20000000000
研发技术员	500000000
研发员	300000000
技术员 300000000
游戏设计	400000000
电子工程师	500000000
电子技术	400000000
质量	20000000000000
质量保证	400000000000
品质	200000000
测试主管	400000000
QA	200000000
QC	200000000
SQE	300000000
软件测试	400000000
自动测试	400000000
测试	2000000000000
测试工程师	500000000
机械	2000000000000
机修工	300000000
机械师	300000000
模具	200000000
出纳	200000000
会计	200000000000
会计师	300000000000
资金专员	400000000
财务	2000000000000
审计	200000000
成本	20000000000
总账	20000000000
CFO	300000000
项目经理	40000000000
项目主管	400000000
项目总监	400000000
项目管理	400000000
项目部经理	500000000
客服	20000000000
顾客服务	400000000
宾客服务	400000000
客服部	300000000
销售	2000000000000
促销	2000000000000
产品销售	400000000
销售部	3000000000
市场	20000000000000
市场部	300000000
采购	20000000000000
采购部	300000000
生产	2000000000000
生产部	300000000
物流	200000000
物流部	300000000
运营	200000000000
运营部	300000000
后勤	2000000000000
后勤部	300000000
人力资源	400000000
人力资源部	500000000
客户服务	400000000
呼叫中心	400000000
销售	200000000
客户	20000000000
分销	200000000
渠道	200000000
置业	200000000
区域	200000000000
营销	200000000
营销部	300000000
CMO	300000000
品牌	200000000
文案策划	400000000
活动策划	400000000
供应商	300000000
供应链	300000000
车间	200000000
厂长	200000000
工艺	20000000000
普工	200000000
制造	200000000
仓库	200000000
货运	200000000
COO	300000000
电子商务	400000000
SEO	300000000
SEM	300000000
人事	20000000000
招聘	200000000
行政	20000000000
经理	20000000000000
主管	20000000000000
管理	200000000
组长	200000000
主任	200000000
负责人	300000000
科长	200000000
课长	200000000
处长	200000000
班长	200000000
线长	200000000
店长	200000000
部长	200000000
代表	200000000
总监	200000000
副总	200000000
首席	200000000
总裁	200000000
CMO	300000000
COO	300000000
助理	20000000000000
专员	200000000
实习生	300000000
HRBP	400000000
HRVP	400000000
HRD	300000000
核价	200000000
项目负责人	500000000
出纳员	300000000
IT项目执行	500000000
销售业务跟单	600000000
业务跟单	400000000
HR	200000000
导购	20000000000
资深	200000000
大区经理	400000000
硬件工程师	500000000
夹具工程师	500000000
机电工程师	500000000
电销	200000000
检验	200000000
检验测试	400000000
装配	2000000000000
绩效	2000000000000
企划	2000000000000
税务	2000000000000
PMC	30000000000
快递	200000000000
速递	200000000000
总经理	3000000000
店长	20000000
教育	20000000
外贸	20000000
CEO	30000000
总助	20000000
培训	20000000
家教	20000000
老师	20000000
技术	20000000
教师	20000000
网络	2000000000
工程师	300000000
JAVA	40000000
CTO	300000000
信息	20000000
总监	20000000
数据统计	40000000
通信	20000000
CIO	30000000
项目	20000000
GS	20000000
IT	20000000
系统	20000000
网站	20000000
编辑	20000000
员工	20000000
设计	20000000
技术部	30000000
数据库	30000000
设计员	30000000
架构	20000000
工程部	30000000
工程	20000000
设备	20000000
跟单	20000000
品控	20000000
Helpdesk	800000000
分析师	30000000
实习	20000000
研究员	30000000
调测	20000000
发货	20000000
薪酬福利	400000000
跟单员	30000000
进出口	30000000
精益	20000000
制程	20000000
